method,domain,n,violations,detected,recall
aggregation_only_tests,benefits,100,60,6,0.1
aggregation_only_tests,citizen_service,97,56,9,0.1607
aggregation_only_tests,education,86,52,8,0.1538
aggregation_only_tests,health,115,70,5,0.0714
aggregation_only_tests,housing,99,60,7,0.1167
aggregation_only_tests,licensing,81,46,4,0.087
audit_contract_tests,benefits,100,60,0,0.0
audit_contract_tests,citizen_service,97,56,0,0.0
audit_contract_tests,education,86,52,0,0.0
audit_contract_tests,health,115,70,0,0.0
audit_contract_tests,housing,99,60,0,0.0
audit_contract_tests,licensing,81,46,0,0.0
basic_policy_aware_full,benefits,100,60,0,0.0
basic_policy_aware_full,citizen_service,97,56,0,0.0
basic_policy_aware_full,education,86,52,0,0.0
basic_policy_aware_full,health,115,70,0,0.0
basic_policy_aware_full,housing,99,60,0,0.0
basic_policy_aware_full,licensing,81,46,0,0.0
consent_scope_contract_tests,benefits,100,60,16,0.2667
consent_scope_contract_tests,citizen_service,97,56,15,0.2679
consent_scope_contract_tests,education,86,52,9,0.1731
consent_scope_contract_tests,health,115,70,18,0.2571
consent_scope_contract_tests,housing,99,60,14,0.2333
consent_scope_contract_tests,licensing,81,46,5,0.1087
dependent_policy_full,benefits,100,60,60,1.0
dependent_policy_full,citizen_service,97,56,56,1.0
dependent_policy_full,education,86,52,52,1.0
dependent_policy_full,health,115,70,70,1.0
dependent_policy_full,housing,99,60,60,1.0
dependent_policy_full,licensing,81,46,46,1.0
dependent_without_consent,benefits,100,60,34,0.5667
dependent_without_consent,citizen_service,97,56,31,0.5536
dependent_without_consent,education,86,52,35,0.6731
dependent_without_consent,health,115,70,36,0.5143
dependent_without_consent,housing,99,60,33,0.55
dependent_without_consent,licensing,81,46,32,0.6957
dependent_without_enhanced_audit,benefits,100,60,54,0.9
dependent_without_enhanced_audit,citizen_service,97,56,51,0.9107
dependent_without_enhanced_audit,education,86,52,48,0.9231
dependent_without_enhanced_audit,health,115,70,53,0.7571
dependent_without_enhanced_audit,housing,99,60,56,0.9333
dependent_without_enhanced_audit,licensing,81,46,44,0.9565
dependent_without_jurisdiction_field,benefits,100,60,42,0.7
dependent_without_jurisdiction_field,citizen_service,97,56,36,0.6429
dependent_without_jurisdiction_field,education,86,52,35,0.6731
dependent_without_jurisdiction_field,health,115,70,48,0.6857
dependent_without_jurisdiction_field,housing,99,60,34,0.5667
dependent_without_jurisdiction_field,licensing,81,46,21,0.4565
dependent_without_purpose_field,benefits,100,60,46,0.7667
dependent_without_purpose_field,citizen_service,97,56,49,0.875
dependent_without_purpose_field,education,86,52,38,0.7308
dependent_without_purpose_field,health,115,70,62,0.8857
dependent_without_purpose_field,housing,99,60,51,0.85
dependent_without_purpose_field,licensing,81,46,36,0.7826
dependent_without_threshold,benefits,100,60,54,0.9
dependent_without_threshold,citizen_service,97,56,47,0.8393
dependent_without_threshold,education,86,52,44,0.8462
dependent_without_threshold,health,115,70,65,0.9286
dependent_without_threshold,housing,99,60,53,0.8833
dependent_without_threshold,licensing,81,46,42,0.913
field_policy_tests,benefits,100,60,0,0.0
field_policy_tests,citizen_service,97,56,0,0.0
field_policy_tests,education,86,52,0,0.0
field_policy_tests,health,115,70,0,0.0
field_policy_tests,housing,99,60,0,0.0
field_policy_tests,licensing,81,46,0,0.0
jurisdiction_redaction_tests,benefits,100,60,8,0.1333
jurisdiction_redaction_tests,citizen_service,97,56,10,0.1786
jurisdiction_redaction_tests,education,86,52,9,0.1731
jurisdiction_redaction_tests,health,115,70,6,0.0857
jurisdiction_redaction_tests,housing,99,60,13,0.2167
jurisdiction_redaction_tests,licensing,81,46,16,0.3478
keyword_sensitive_privacy_linter,benefits,100,60,58,0.9667
keyword_sensitive_privacy_linter,citizen_service,97,56,53,0.9464
keyword_sensitive_privacy_linter,education,86,52,48,0.9231
keyword_sensitive_privacy_linter,health,115,70,66,0.9429
keyword_sensitive_privacy_linter,housing,99,60,57,0.95
keyword_sensitive_privacy_linter,licensing,81,46,45,0.9783
object_policy_tests,benefits,100,60,0,0.0
object_policy_tests,citizen_service,97,56,0,0.0
object_policy_tests,education,86,52,0,0.0
object_policy_tests,health,115,70,0,0.0
object_policy_tests,housing,99,60,0,0.0
object_policy_tests,licensing,81,46,0,0.0
pairwise_dependency_suite,benefits,100,60,53,0.8833
pairwise_dependency_suite,citizen_service,97,56,49,0.875
pairwise_dependency_suite,education,86,52,47,0.9038
pairwise_dependency_suite,health,115,70,64,0.9143
pairwise_dependency_suite,housing,99,60,54,0.9
pairwise_dependency_suite,licensing,81,46,40,0.8696
purpose_field_contract_tests,benefits,100,60,14,0.2333
purpose_field_contract_tests,citizen_service,97,56,7,0.125
purpose_field_contract_tests,education,86,52,14,0.2692
purpose_field_contract_tests,health,115,70,8,0.1143
purpose_field_contract_tests,housing,99,60,9,0.15
purpose_field_contract_tests,licensing,81,46,10,0.2174
risk_heuristic_privacy_linter,benefits,100,60,39,0.65
risk_heuristic_privacy_linter,citizen_service,97,56,45,0.8036
risk_heuristic_privacy_linter,education,86,52,33,0.6346
risk_heuristic_privacy_linter,health,115,70,51,0.7286
risk_heuristic_privacy_linter,housing,99,60,49,0.8167
risk_heuristic_privacy_linter,licensing,81,46,31,0.6739
role_matrix,benefits,100,60,0,0.0
role_matrix,citizen_service,97,56,0,0.0
role_matrix,education,86,52,0,0.0
role_matrix,health,115,70,0,0.0
role_matrix,housing,99,60,0,0.0
role_matrix,licensing,81,46,0,0.0
schema_validation,benefits,100,60,0,0.0
schema_validation,citizen_service,97,56,0,0.0
schema_validation,education,86,52,0,0.0
schema_validation,health,115,70,0,0.0
schema_validation,housing,99,60,0,0.0
schema_validation,licensing,81,46,0,0.0
